coder,volume_id,descriptive_title,full_description,n_files,thumbnail,investigator_1_lastname,investigator_1_party_id,sharing_level,funding_listed,comments
kmj,597,yes,no,2,no,Tamis-LeMonda,11,overview,no,
kmj,598,yes,yes,0,no,rhodes,277,overview,no,
kmj,599,yes,yes,20,no,rhodes,277,overview,no,
kmj,600,no,no,15,no,lillard,318,overview,no,
ars,601,no,no,0,no,cashon,302,private,no,
ars,602,no,no,8,no,chemla,3701,private,no,
ars,603,no,no,16,no,jaswal,1117,overview,no,
ars,604,no,no,108,no,needham ,118,overview,no,
ars,605,no,no,2,no,jaswal,1117,overview,no,
ars,606,no,no,23,no,jaswal,1117,private,no,
ars,607,no,no,60,no,weisberg,562,private,no,"shared files, but private volume"
ars,608,no,no,2,no,scott,2653,entire,yes,
ars,609,no,no,20,no,jaswal,1117,overview,no,
ars,610,no,no,39,no,jaswal,1117,overview,no,
ars,611,no,no,481,no,cabrera,3044,private,no,"funding not listed, but description mentions it is a funded study; error in age entry"
ars,612,no,no,16,no,jaswal,1117,overview,no,error in age entry
ars,613,no,no,17,no,jaswal,1117,overview,no,
ars,614,no,no,18,no,jaswal,1117,overview,no,
ars,615,no,no,7,no,jaswal,1117,overview,no,
ars,616,no,no,34,no,jaswal,1117,overview,no,
ars,617,no,no,20,no,jaswal,1117,overview,no,
ars,618,no,no,0,no,chemla,3701,overview,no,
ars,619,no,no,4,no,jaswal,1117,overview,no,
ars,620,no,no,5,no,jaswal,1117,overview,no,
ars,621,no,no,4,no,jaswal,1117,overview,no,
ars,622,no,no,16,no,jaswal,1117,overview,no,
ars,623,no,no,14,no,jaswal,1117,overview,no,
ars,624,no,no,33,no,jaswal,1117,overview,no,
ars,625,no,no,35,no,jaswal,1117,overview,no,error in age entry
ars,626,no,no,34,no,jaswal,1117,overview,no,
